Simple Mean,Delivery Rating,Normalized Rating
2.8,2.8,2.7
5,4.3,4.7
5,4.1,4.5
2.2,2.3,3
4.7,4.6,4.7
3.3,3.4,3.1
2.9,2.5,2.9
2.5,2.6,3
3.1,3.7,4
3.4,4,3.4
2.5,2.9,2.6
2.6,2.5,2.9
3.9,4,4
4.2,4.6,4.1
3,2.4,2.7
4.3,4.3,4.5
2.9,2.6,2.7
3.9,4,3.5
3.2,3.2,4
4.6,4.3,4.2
2.1,2.2,2.2
4.6,4.5,4.3
4.2,4.4,4.3
2.5,2.2,2.5
3.9,3.9,3.9
4.8,4.5,4.2
2.1,2.5,2.8
4.8,4.1,4.4
3.7,3.8,3.5
3.6,3.2,3.3
3.7,3.1,3.9
2.8,2.5,2.7
4.3,5,4.7
4.5,4.9,4.4
2.6,2.2,2.6
4.7,4.1,4.8
3,2.1,3
4.6,4.1,4.7
3.1,3.7,3.5
2.2,2.7,2.4
3.8,3.3,3.9
4.7,4.7,4.7
3.5,3.9,3.2
4.4,4.9,4.8
4.4,4.1,4.9
4.1,4.2,4.2
4.5,4.4,4.7
2.5,2.9,2.6
3.9,3.4,3.2
